timestamp,hashtag,tweet_count,avg_sentiment
2020-02-27 11:30:00,#pandemic,35,-0.003
2020-02-27 11:30:00,#stayhome,35,-0.016
2020-02-27 12:00:00,#corona,113,-0.374
2020-02-27 12:00:00,#covid19,93,-0.345
2020-02-27 12:00:00,#wuhan,56,-0.4
2020-02-27 12:00:00,#pandemic,50,-0.143
2020-02-27 12:00:00,#stayhome,43,-0.185
2020-02-27 12:30:00,#corona,107,-0.218
2020-02-27 12:30:00,#covid19,98,-0.402
2020-02-27 12:30:00,#wuhan,54,-0.311
2020-02-27 12:30:00,#pandemic,44,-0.087
2020-02-27 12:30:00,#stayhome,32,-0.044
2020-02-27 13:00:00,#corona,96,-0.23
2020-02-27 13:00:00,#covid19,83,0.042
2020-02-27 13:00:00,#wuhan,42,-0.352
2020-02-27 13:00:00,#pandemic,24,-0.231
2020-02-27 13:00:00,#stayhome,31,0.198
2020-02-27 13:30:00,#corona,108,-0.254
2020-02-27 13:30:00,#covid19,75,-0.145
2020-02-27 13:30:00,#wuhan,47,-0.326
2020-02-27 13:30:00,#pandemic,28,-0.033
2020-02-27 13:30:00,#stayhome,27,0.176
2020-02-27 14:00:00,#corona,104,-0.189
2020-02-27 14:00:00,#covid19,81,0.058
2020-02-27 14:00:00,#wuhan,44,-0.444
2020-02-27 14:00:00,#pandemic,32,0.013
2020-02-27 14:00:00,#stayhome,26,0.143
2020-02-27 14:30:00,#corona,102,-0.301
2020-02-27 14:30:00,#covid19,68,-0.164
2020-02-27 14:30:00,#wuhan,43,-0.491
2020-02-27 14:30:00,#pandemic,36,-0.101
2020-02-27 14:30:00,#stayhome,18,0.143
2020-02-27 15:00:00,#corona,93,-0.398
2020-02-27 15:00:00,#covid19,80,-0.205
2020-02-27 15:00:00,#wuhan,37,-0.322
2020-02-27 15:00:00,#pandemic,33,-0.255
2020-02-27 15:00:00,#stayhome,26,0.233
2020-02-27 15:30:00,#corona,91,-0.212
2020-02-27 15:30:00,#covid19,78,0.072
2020-02-27 15:30:00,#wuhan,31,-0.296
2020-02-27 15:30:00,#pandemic,29,-0.193
2020-02-27 15:30:00,#stayhome,35,0.048
2020-02-27 16:00:00,#corona,110,-0.294
2020-02-27 16:00:00,#covid19,81,-0.259
2020-02-27 16:00:00,#wuhan,39,-0.391
2020-02-27 16:00:00,#pandemic,30,-0.154
2020-02-27 16:00:00,#stayhome,12,0.41
2020-02-27 16:30:00,#corona,99,-0.076
2020-02-27 16:30:00,#covid19,76,-0.165
2020-02-27 16:30:00,#wuhan,63,-0.53
2020-02-27 16:30:00,#pandemic,23,-0.251
2020-02-27 16:30:00,#stayhome,30,0.175
2020-02-27 17:00:00,#corona,111,-0.276
2020-02-27 17:00:00,#covid19,75,-0.252
2020-02-27 17:00:00,#wuhan,53,-0.33
2020-02-27 17:00:00,#pandemic,22,-0.185
2020-02-27 17:00:00,#stayhome,37,0.433
2020-02-27 17:30:00,#corona,111,-0.219
2020-02-27 17:30:00,#covid19,80,-0.301
2020-02-27 17:30:00,#wuhan,48,-0.325
2020-02-27 17:30:00,#pandemic,38,-0.242
2020-02-27 17:30:00,#stayhome,25,-0.09
